Classifier,cv_k_folds,Random_State,Accuracy,Precision,Recall,F1 Score,Specificity,Balanced Accuracy,dataset,hardness_metric,seed,weighting_strategy
SVC,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DCP,116740,curriculum
KNeighborsClassifier,3,116740,0.9767441860465116,0.875,1.0,0.9333333333333333,0.9722222222222222,0.9861111111111112,NewThyroid2,feature_DCP,116740,curriculum
LogisticRegression,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DCP,116740,static
RandomForestClassifier,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DCP,116740,static
GaussianNB,3,116740,0.9534883720930233,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9722222222222222,0.9146825396825397,NewThyroid2,feature_DCP,116740,static
SVC,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DCP,116740,static
KNeighborsClassifier,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DCP,116740,static
LogisticRegression,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DCP,116740,self_paced
RandomForestClassifier,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DCP,116740,self_paced
GaussianNB,3,116740,1.0,1.0,1.0,1.0,1.0,1.0,NewThyroid2,feature_DCP,116740,self_paced
