dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_ks_statistic,std_ks_statistic
NewThyroid2,feature_TD_U,26226,static,0.4213562532364906,0.7363338679497461,0.09560663114843337
NewThyroid2,feature_TD_U,26226,self_paced,0.40287457592264647,0.6389000267308207,0.09225099303518051
BCWDD,feature_DCP,116740,self_paced,0.4985752591748796,0.45321887089068014,0.136146486913546
Hypothyroid,relative_entropy,670488,static,0.6217343669233222,0.6817214181452692,0.15215335426762983
NewThyroid2,feature_CL,670488,curriculum,0.4172563002254895,0.7488973536487572,0.10070214170551671
BCWDD,feature_DCP,26226,curriculum,0.46659446365539586,0.42980441718169626,0.10353292763511955
NewThyroid2,feature_CL,670488,static,0.45386279813374913,0.7451216252338947,0.10619161248942938
NewThyroid2,feature_CL,670488,self_paced,0.4074927643795682,0.6917936380646886,0.10891483037011418
BCWDD,feature_DCP,26226,static,0.46510994618913,0.45699181603809935,0.0680604421829511
NewThyroid2,feature_CL,116740,curriculum,0.46029599794394804,0.7373028601978081,0.10135835398822277
BCWDD,feature_DCP,26226,self_paced,0.4886688167016405,0.5091379868378466,0.13630907897012895
NewThyroid2,feature_CL,116740,static,0.4253690624078043,0.7411788291900562,0.10817464745548483
NewThyroid2,feature_CL,116740,self_paced,0.42054821064957965,0.6997460572039561,0.10440030335321646
BCWDD,feature_TD_P,670488,curriculum,0.4589720881598261,0.43419385663424925,0.06503039192604448
NewThyroid2,feature_CL,26226,curriculum,0.42669926230558597,0.7434843624699278,0.09846882149196001
NewThyroid2,feature_CL,26226,static,0.45632379354796454,0.7319901095963646,0.11138049372121513
BCWDD,feature_TD_P,670488,static,0.4534358573811525,0.4069879629486923,0.10172190670420625
NewThyroid2,feature_CL,26226,self_paced,0.42282274885262167,0.6754878374766106,0.11746351888972954
BCWDD,feature_TD_P,670488,self_paced,0.49177453373773566,0.4637701709230462,0.14921844979739707
NewThyroid2,feature_CLD,670488,curriculum,0.4369470439803878,0.7762630312750601,0.07451635782556341
NewThyroid2,feature_CLD,670488,static,0.40149766114843416,0.7485632183908048,0.10547375709164643
BCWDD,feature_TD_P,116740,curriculum,0.46240755399715433,0.5970839819367169,0.10745231965522162
NewThyroid2,feature_CLD,670488,self_paced,0.4305332707481575,0.6407043571237638,0.11051206817252542
BCWDD,feature_TD_P,116740,static,0.4143196695718426,0.5482422206124871,0.12398794107603439
NewThyroid2,feature_CLD,116740,curriculum,0.4177948364608114,0.7453221063886661,0.08943801639045032
NewThyroid2,feature_CLD,116740,static,0.42342362785452486,0.7472600908847902,0.09654936425570532
BCWDD,feature_TD_P,116740,self_paced,0.5297925047816224,0.4168796140745649,0.14827106857765057
Hypothyroid,relative_entropy,670488,self_paced,0.619696412109559,0.6958497096013592,0.18189704227496672
NewThyroid2,feature_CLD,116740,self_paced,0.4260297978290583,0.6934309008286554,0.11431478203206348
BCWDD,feature_TD_P,26226,curriculum,0.47605732626688907,0.3756423100041613,0.0838030860771071
NewThyroid2,feature_CLD,26226,curriculum,0.43887677517405094,0.7488305265971665,0.08090008039435148
NewThyroid2,feature_CLD,26226,static,0.43469028380570723,0.7546110665597435,0.10004639036446564
BCWDD,feature_TD_P,26226,static,0.4820553039083313,0.354086586625156,0.09755649309772021
NewThyroid2,feature_CLD,26226,self_paced,0.42332672460810394,0.6989775461106656,0.10167799585934008
BCWDD,feature_TD_P,26226,self_paced,0.5137984820299251,0.4186027156574141,0.1452340896689614
NewThyroid2,feature_MV,670488,curriculum,0.40555139630658615,0.7578187650360867,0.10049999844641577
NewThyroid2,feature_MV,670488,static,0.4238622526319391,0.7616279069767442,0.10202284852862202
BCWDD,feature_TD_U,670488,curriculum,0.48763055783750753,0.3261933017893747,0.07107021632829232
NewThyroid2,feature_MV,670488,self_paced,0.3874515280652079,0.6617548783747661,0.09843035464852046
BCWDD,feature_TD_U,670488,static,0.4879888254017396,0.3237273245688393,0.08162181373167761
NewThyroid2,feature_MV,116740,curriculum,0.45741045034324807,0.7550454423950814,0.08256265864871312
NewThyroid2,feature_MV,116740,static,0.4280093260600369,0.7229350441058541,0.11616119854165878
BCWDD,feature_TD_U,670488,self_paced,0.4893791158151898,0.45541359061695663,0.13594314818179148
NewThyroid2,feature_MV,116740,self_paced,0.4306565855120068,0.6599171344560277,0.10121351321343594
BCWDD,feature_TD_U,116740,curriculum,0.4919430659093708,0.3308355039070326,0.07410364612325517
NewThyroid2,feature_MV,26226,curriculum,0.4357215560932075,0.7337610264635125,0.10900418066103977
NewThyroid2,feature_MV,26226,static,0.41058194117823343,0.7753608660785886,0.07826837945722272
BCWDD,feature_TD_U,116740,static,0.5130862834598326,0.3348858714917621,0.08022065006023232
NewThyroid2,feature_MV,26226,self_paced,0.39475994306430195,0.657177225340818,0.1044622250184952
Hypothyroid,relative_entropy,116740,curriculum,0.5219159377354126,0.7473729676821923,0.13806642899797797
NewThyroid2,feature_CB,670488,curriculum,0.4072381958921621,0.7293170275327453,0.12648202394101257
BCWDD,feature_TD_U,116740,self_paced,0.49692431440835044,0.4518009339888723,0.12112833182951038
NewThyroid2,feature_CB,670488,static,0.46688746483023563,0.7433841218925421,0.11245080723216835
BCWDD,feature_TD_U,26226,curriculum,0.47907466429503814,0.3034939814743462,0.07777080081991997
NewThyroid2,feature_CB,670488,self_paced,0.374238315512059,0.7522387062282813,0.08993424734118163
NewThyroid2,feature_CB,116740,curriculum,0.45859219325669215,0.7275795241913926,0.11203850167037234
BCWDD,feature_TD_U,26226,static,0.4940855348622983,0.2949031333323059,0.07734021087082625
NewThyroid2,feature_CB,116740,static,0.4627603501692239,0.7535418337342956,0.10184460202283183
BCWDD,feature_TD_U,26226,self_paced,0.4993181570751026,0.44906061680255227,0.14205895342293337
NewThyroid2,feature_CB,116740,self_paced,0.4553951368680151,0.5888799786153435,0.095922126147809
NewThyroid2,feature_CB,26226,curriculum,0.43252787042435964,0.736333867949746,0.11052819081084554
BCWDD,feature_CL,670488,curriculum,0.4646288982358179,0.49025784874312217,0.11009929594493417
NewThyroid2,feature_CB,26226,static,0.4254871029533739,0.7667401764234162,0.09053825652855604
BCWDD,feature_CL,670488,static,0.4533110465646035,0.46404451088883064,0.10575208475985294
NewThyroid2,feature_CB,26226,self_paced,0.393133427505603,0.7062616947340282,0.10854151778015057
NewThyroid2,feature_N1,670488,curriculum,0.4798090960148095,0.5677292167869554,0.05470692202282042
BCWDD,feature_CL,670488,self_paced,0.5039178345309484,0.4927885578656968,0.15059892163372945
NewThyroid2,feature_N1,670488,static,0.4222762590447467,0.6447808072707832,0.11211817341530454
BCWDD,feature_CL,116740,curriculum,0.4778720049306478,0.4838771326849867,0.12252893951052733
NewThyroid2,feature_N1,670488,self_paced,0.41754533647732006,0.7026864474739374,0.07839701849699426
NewThyroid2,feature_N1,116740,curriculum,0.46449726490416116,0.5725741780272654,0.07748218397134429
BCWDD,feature_CL,116740,static,0.46521129701315383,0.4941972473529275,0.10245503369531327
NewThyroid2,feature_N1,116740,static,0.4581342600179662,0.605386260358193,0.09841083763804129
Hypothyroid,relative_entropy,116740,static,0.5634030497028423,0.6401499816144925,0.1430037670574335
BCWDD,feature_CL,116740,self_paced,0.5091865497475407,0.4817255675600697,0.1380389619152985
NewThyroid2,feature_N1,116740,self_paced,0.4232550055548333,0.7202619620422347,0.09602954303983681
NewThyroid2,feature_N1,26226,curriculum,0.4627052208811335,0.5572373696872494,0.08929155083960773
BCWDD,feature_CL,26226,curriculum,0.45177465392695887,0.4944037729451474,0.11006832504995893
NewThyroid2,feature_N1,26226,static,0.40824176320010136,0.5954958567228015,0.11648620276523956
BCWDD,feature_CL,26226,static,0.49321530185639567,0.4843210085846832,0.11050408694380101
NewThyroid2,feature_N1,26226,self_paced,0.38238805794992003,0.6938318631381984,0.09282893875687691
NewThyroid2,feature_N2,670488,curriculum,0.39194021104768545,0.7583867949746056,0.07066436180763964
BCWDD,feature_CL,26226,self_paced,0.4631557506012113,0.5308632461507636,0.1294130079726639
NewThyroid2,feature_N2,670488,static,0.4496491372809711,0.7414127238706228,0.07735381328422077
BCWDD,feature_CLD,670488,curriculum,0.4396894364175739,0.4857266156003883,0.10176391963145721
NewThyroid2,feature_N2,670488,self_paced,0.3916060044815503,0.7517375033413526,0.08239910956853083
NewThyroid2,feature_N2,116740,curriculum,0.4399298522325083,0.6979083132852179,0.0641728053771806
BCWDD,feature_CLD,670488,static,0.4529243072994269,0.47765670514618624,0.1137263494602617
NewThyroid2,feature_N2,116740,static,0.4039716534324181,0.7312550120288693,0.08520447112284944
BCWDD,feature_CLD,670488,self_paced,0.49279869991103364,0.5026493842763127,0.13769399918734399
NewThyroid2,feature_N2,116740,self_paced,0.42251680453258206,0.71200882117081,0.09443121725865813
NewThyroid2,feature_N2,26226,curriculum,0.40349854443742444,0.7438184977278802,0.06862719296420645
BCWDD,feature_CLD,116740,curriculum,0.47460500257585253,0.4858345021037868,0.12614128250189888
NewThyroid2,feature_N2,26226,static,0.40970756149352544,0.7458233092755947,0.0745418317232126
BCWDD,feature_CLD,116740,static,0.4885592092266005,0.4842377818534901,0.13204389394549246
NewThyroid2,feature_N2,26226,self_paced,0.3946644277054046,0.7294172681101309,0.0919376547319926
Hypothyroid,relative_entropy,116740,self_paced,0.5425211652214808,0.6744411838686672,0.16399632666509556
NewThyroid2,feature_LSC,670488,curriculum,0.41916749480633114,0.7043905372894947,0.06844885334933183
BCWDD,feature_CLD,116740,self_paced,0.514376360139813,0.48937317941525504,0.14562737294612046
NewThyroid2,feature_LSC,670488,static,0.422136534064437,0.7010157711841755,0.06916858103591737
NewThyroid2,feature_LSC,670488,self_paced,0.40923944701385534,0.705526597166533,0.08989319655457972
BCWDD,feature_CLD,26226,curriculum,0.47390191085234434,0.4928964443690952,0.10801355051145849
NewThyroid2,feature_LSC,116740,curriculum,0.4355285687539739,0.6878174284950548,0.0774259168548617
BCWDD,feature_CLD,26226,static,0.48128202899574857,0.44536781591480035,0.12494510485424994
NewThyroid2,feature_LSC,116740,static,0.43950318425181534,0.6896217588879979,0.07564273937273137
NewThyroid2,feature_LSC,116740,self_paced,0.41809437364909435,0.7190924886394012,0.08941275326954203
BCWDD,feature_CLD,26226,self_paced,0.47662281437940307,0.48576360525869644,0.13783817027134168
NewThyroid2,feature_LSC,26226,curriculum,0.4200549867278999,0.7138465650895482,0.09162425015121675
BCWDD,feature_MV,670488,curriculum,0.49043561030795685,0.47471294483917204,0.13116291716908307
NewThyroid2,feature_LSC,26226,static,0.4264632877321853,0.7294506816359263,0.07077720674640223
NewThyroid2,feature_LSC,26226,self_paced,0.3904575832422325,0.7178896017107727,0.11022255136419906
BCWDD,feature_MV,670488,static,0.488885348682061,0.48444430744570993,0.15524944504345017
NewThyroid2,feature_LSR,670488,curriculum,0.42058083967092036,0.6939321037155842,0.06830336027702055
BCWDD,feature_MV,670488,self_paced,0.4883466528248043,0.45405422067413653,0.1399293894340729
NewThyroid2,feature_LSR,670488,static,0.41921851874370125,0.7279470729751404,0.06475044732326903
NewThyroid2,feature_LSR,670488,self_paced,0.40968514213708856,0.751236300454424,0.08866159914835312
BCWDD,feature_MV,116740,curriculum,0.4883763569138502,0.462158038315121,0.135346466711265
NewThyroid2,feature_LSR,116740,curriculum,0.432258812925004,0.7458233092755947,0.07085237887836963
BCWDD,feature_MV,116740,static,0.4626893412516662,0.536023303484734,0.11887592286516609
NewThyroid2,feature_LSR,116740,static,0.41272772886521175,0.7175888799786153,0.07651805380187408
Hypothyroid,relative_entropy,26226,curriculum,0.5341212846347521,0.7036041600809418,0.1517867726898843
NewThyroid2,feature_LSR,116740,self_paced,0.43861751612979066,0.7118083400160384,0.10252337518929236
BCWDD,feature_MV,116740,self_paced,0.48940191168103825,0.4526732734306367,0.13715600209776108
NewThyroid2,feature_LSR,26226,curriculum,0.40297199911649384,0.7085338144881049,0.07599262053070269
BCWDD,feature_MV,26226,curriculum,0.5038905973638759,0.5090763374073332,0.12902119360866193
NewThyroid2,feature_LSR,26226,static,0.3698859135396835,0.7057270783213044,0.07559321914874803
NewThyroid2,feature_LSR,26226,self_paced,0.38062222955362623,0.7437516706762898,0.07690095921670123
BCWDD,feature_MV,26226,static,0.495367243583419,0.5003498605181634,0.12859976041189683
NewThyroid2,feature_Harmfulness,670488,curriculum,0.443258333366721,0.5470462443197006,0.0710887504711901
BCWDD,feature_MV,26226,self_paced,0.5056364762885873,0.46065995715364577,0.1490668774124936
NewThyroid2,feature_Harmfulness,670488,static,0.4010321095264093,0.642809409248864,0.07479242891907899
NewThyroid2,feature_Harmfulness,670488,self_paced,0.3970145064575267,0.7397754611066559,0.08223817447520536
BCWDD,feature_CB,670488,curriculum,0.47569710075025184,0.5039532697316708,0.140185184718583
NewThyroid2,feature_Harmfulness,116740,curriculum,0.48694624284165644,0.5867749264902432,0.08601228917478695
BCWDD,feature_CB,670488,static,0.48736200515783373,0.5050567945378605,0.11956732135008452
NewThyroid2,feature_Harmfulness,116740,static,0.44740416796032995,0.6708767709168671,0.09198908108105494
NewThyroid2,feature_Harmfulness,116740,self_paced,0.42263482153588117,0.7032544774124565,0.0927946551672208
BCWDD,feature_CB,670488,self_paced,0.491131977278915,0.44869072021947204,0.12776054682357427
NewThyroid2,feature_Harmfulness,26226,curriculum,0.4497669594794854,0.5476142742582198,0.08501809493662406
NewThyroid2,feature_Harmfulness,26226,static,0.43880952574422044,0.6093290564020316,0.08905453732947446
BCWDD,feature_CB,116740,curriculum,0.48566540923534823,0.46533298398656037,0.13511431703343
NewThyroid2,feature_Harmfulness,26226,self_paced,0.40302662078551926,0.7160852713178293,0.09127974101993222
BCWDD,feature_CB,116740,static,0.48795147249635634,0.4931707843348797,0.1313963342084169
NewThyroid2,feature_F1,670488,curriculum,0.384735700257401,0.7482290831328523,0.06512299606278385
Hypothyroid,relative_entropy,26226,static,0.5476201454488289,0.6477035245665994,0.15596986894399276
NewThyroid2,feature_F1,670488,static,0.3924549623416019,0.7583533814488105,0.06895334224645722
BCWDD,feature_CB,116740,self_paced,0.5203922538545941,0.42359631952899846,0.15225658030361058
NewThyroid2,feature_F1,670488,self_paced,0.4129770991859637,0.7377038225073509,0.09904294359140293
BCWDD,feature_CB,26226,curriculum,0.4866665852453788,0.47315937919023476,0.1343029522131694
NewThyroid2,feature_F1,116740,curriculum,0.41383620880906746,0.7092354985298049,0.08320391955348308
NewThyroid2,feature_F1,116740,static,0.4266308512780105,0.7540096230954291,0.0696684753123417
BCWDD,feature_CB,26226,static,0.47570678618638473,0.496999213969761,0.12586369603499792
NewThyroid2,feature_F1,116740,self_paced,0.4102050420867586,0.7051256348569902,0.09273110681355702
BCWDD,feature_CB,26226,self_paced,0.5073518444328533,0.44455404343202376,0.15533764654070709
NewThyroid2,feature_F1,26226,curriculum,0.3904849161331572,0.7703822507350976,0.08213014734086986
NewThyroid2,feature_F1,26226,static,0.41656801907218677,0.7530740443731623,0.09276680396083514
BCWDD,feature_N1,670488,curriculum,0.49167836185673275,0.45376446835072365,0.09701506054423949
NewThyroid2,feature_F1,26226,self_paced,0.4094955976253892,0.6612870890136328,0.10796505840893467
BCWDD,feature_N1,670488,static,0.4710470576020554,0.47540033598939635,0.05497717528551508
NewThyroid2,feature_F2,670488,curriculum,0.40273220552530103,0.7496658647420475,0.08408224139874024
NewThyroid2,feature_F2,670488,static,0.38910034957090206,0.7980820636193532,0.054775450279443076
BCWDD,feature_N1,670488,self_paced,0.521071664376465,0.39657229166345576,0.1235348967562506
NewThyroid2,feature_F2,670488,self_paced,0.3982897691641418,0.7120756482224003,0.11019872496521975
BCWDD,feature_N1,116740,curriculum,0.502909824610884,0.4247861535379067,0.10485798326841356
NewThyroid2,feature_F2,116740,curriculum,0.43050296104749675,0.7704824913124834,0.0793611192173609
NewThyroid2,feature_F2,116740,static,0.38500996534844933,0.7825113605987704,0.06746545008967585
BCWDD,feature_N1,116740,static,0.4910758048439042,0.4021392352388146,0.10173349712484701
Hypothyroid,relative_entropy,26226,self_paced,0.5440394350482001,0.6633848151991713,0.15602533590577636
NewThyroid2,feature_F2,116740,self_paced,0.41405806141120066,0.7054597701149427,0.11517273982384421
BCWDD,feature_N1,116740,self_paced,0.4976308370402489,0.4691429187922877,0.1359334548456725
NewThyroid2,feature_F2,26226,curriculum,0.37781857526128876,0.74101176156108,0.09269216193193719
NewThyroid2,feature_F2,26226,static,0.38903743976716687,0.7597567495322105,0.0744138649164121
BCWDD,feature_N1,26226,curriculum,0.49546714485195703,0.4327512599602361,0.090202318381461
NewThyroid2,feature_F2,26226,self_paced,0.3983915088118276,0.6921611868484362,0.12240627783918923
NewThyroid2,feature_F3,670488,curriculum,0.3731305155355479,0.767675755145683,0.06851817227710287
BCWDD,feature_N1,26226,static,0.47050517271615067,0.45296302575404956,0.07068869517710255
NewThyroid2,feature_F3,670488,static,0.43942066033553745,0.7405105586741513,0.09346218901407355
