dataset,hardness_metric,seed,weighting_strategy,overall_similarity,mean_ks_statistic,std_ks_statistic,mean_ks_pvalue
BCWDD,feature_DCP,116740,self_paced,0.7301560089147952,0.2698439910852049,0.20640135271303714,0.1277260957511964
Hypothyroid,relative_entropy,670488,static,0.7199786007943293,0.28002139920567076,0.30469087658016725,0.1579140940797855
NewThyroid2,feature_CL,670488,curriculum,0.7622399020807835,0.23776009791921668,0.2327476555349044,0.2981927396773519
BCWDD,feature_DCP,26226,curriculum,0.8026744385393452,0.19732556146065494,0.13319475275237627,0.1739658516872486
NewThyroid2,feature_CL,670488,static,0.7454100367197063,0.25458996328029376,0.24337129275826902,0.30821967300379394
NewThyroid2,feature_CL,670488,self_paced,0.7973276213790289,0.202672378620971,0.22586267795620066,0.2716308680727396
BCWDD,feature_DCP,26226,static,0.783416195211155,0.2165838047888451,0.1584866914490445,0.15803774517932984
NewThyroid2,feature_CL,116740,curriculum,0.7563239494084047,0.2436760505915953,0.21562323525759253,0.24143512648814316
BCWDD,feature_DCP,26226,self_paced,0.7362134979141665,0.26378650208583343,0.1794116149064793,0.1224504795783228
NewThyroid2,feature_CL,116740,static,0.7597919216646267,0.24020807833537336,0.20599471969953873,0.22516522581433368
NewThyroid2,feature_CL,116740,self_paced,0.8096695226438188,0.19033047735618114,0.17147728352985372,0.20869973337222783
BCWDD,feature_TD_P,670488,curriculum,0.778101605806046,0.22189839419395394,0.1753595420555215,0.18485428625737957
NewThyroid2,feature_CL,26226,curriculum,0.8114035087719299,0.18859649122807018,0.18432051253456355,0.31181604005216035
NewThyroid2,feature_CL,26226,static,0.8292533659730722,0.17074663402692783,0.1672419629166776,0.3238883652159934
BCWDD,feature_TD_P,670488,static,0.7854163095034002,0.21458369049659978,0.15121851008020007,0.17039370356081662
NewThyroid2,feature_CL,26226,self_paced,0.8827009383924928,0.11729906160750714,0.08872357847563499,0.28074215642787004
BCWDD,feature_TD_P,670488,self_paced,0.7044402537287846,0.2955597462712155,0.22038277536530568,0.10771866933807474
NewThyroid2,feature_CLD,670488,curriculum,0.7138922888616892,0.28610771113831085,0.25289356058519774,0.27305459924268266
NewThyroid2,feature_CLD,670488,static,0.7486740106079153,0.2513259893920849,0.23912681389214893,0.3007206813815866
BCWDD,feature_TD_P,116740,curriculum,0.6554660266300931,0.3445339733699068,0.2079609824370794,0.10920747369185042
NewThyroid2,feature_CLD,670488,self_paced,0.7947776417788659,0.20522235822113422,0.1587889148009863,0.24158073788398957
BCWDD,feature_TD_P,116740,static,0.7100977198697069,0.2899022801302932,0.1934151697620843,0.11389751514884731
NewThyroid2,feature_CLD,116740,curriculum,0.7514279885760914,0.24857201142390864,0.21280784743571546,0.19983659914510582
NewThyroid2,feature_CLD,116740,static,0.7451040391676866,0.25489596083231336,0.21322314021552613,0.20966433889045008
BCWDD,feature_TD_P,116740,self_paced,0.7743299617120979,0.2256700382879022,0.16532170806525642,0.1546944192578042
Hypothyroid,relative_entropy,670488,self_paced,0.6815007355976949,0.318499264402305,0.3232738731739467,0.15789473684210525
NewThyroid2,feature_CLD,116740,self_paced,0.8016115871073032,0.19838841289269685,0.18984982928191005,0.1957216361898856
BCWDD,feature_TD_P,26226,curriculum,0.7947882736156352,0.20521172638436483,0.17540369107095746,0.14766591839781182
NewThyroid2,feature_CLD,26226,curriculum,0.8704610363117095,0.12953896368829051,0.1081572336899208,0.30232411878813964
NewThyroid2,feature_CLD,26226,static,0.8220114239086086,0.17798857609139127,0.1818471820829828,0.3219127034152832
BCWDD,feature_TD_P,26226,static,0.8158751928681639,0.18412480713183613,0.12204257923810109,0.12377427741712584
NewThyroid2,feature_CLD,26226,self_paced,0.8680130558955528,0.1319869441044471,0.08087371156726914,0.22446132940935526
BCWDD,feature_TD_P,26226,self_paced,0.7785587747871305,0.2214412252128693,0.1623633480166784,0.15869245726692455
NewThyroid2,feature_MV,670488,curriculum,0.7379640962872297,0.2620359037127703,0.2572222856420062,0.2708498336801628
NewThyroid2,feature_MV,670488,static,0.7373521011831906,0.2626478988168095,0.24902306472341668,0.29737167001904724
BCWDD,feature_TD_U,670488,curriculum,0.795359734841991,0.20464026515800904,0.13953870904476023,0.16320323664261532
NewThyroid2,feature_MV,670488,self_paced,0.8065075479396165,0.1934924520603835,0.19759766747633958,0.2636338028992778
BCWDD,feature_TD_U,670488,static,0.8074175667180983,0.19258243328190183,0.11863119393650576,0.10632097633507612
NewThyroid2,feature_MV,116740,curriculum,0.7498980008159934,0.25010199918400655,0.2143881635923574,0.2464963887300571
NewThyroid2,feature_MV,116740,static,0.7719298245614036,0.22807017543859653,0.19613750878090686,0.21382700164432605
BCWDD,feature_TD_U,670488,self_paced,0.8030744613977941,0.19692553860220585,0.13585488008617605,0.11612063847695192
NewThyroid2,feature_MV,116740,self_paced,0.8194614443084456,0.18053855569155447,0.16129667335833545,0.220986810358338
BCWDD,feature_TD_U,116740,curriculum,0.7816446654094519,0.21835533459054807,0.13225793238824454,0.11307532562740362
NewThyroid2,feature_MV,26226,curriculum,0.8148714810281517,0.1851285189718482,0.17150355240233875,0.32132715250395805
NewThyroid2,feature_MV,26226,static,0.7943696450428397,0.20563035495716037,0.20490790710293863,0.3091412900873529
BCWDD,feature_TD_U,116740,static,0.7902737299274245,0.2097262700725756,0.12852547929960256,0.10550869682753874
NewThyroid2,feature_MV,26226,self_paced,0.8612811097511219,0.13871889024887799,0.09574654220914594,0.2596375894113898
Hypothyroid,relative_entropy,116740,curriculum,0.613157022486611,0.3868429775133891,0.3440612660204462,0.10526315789473684
NewThyroid2,feature_CB,670488,curriculum,0.759077927376581,0.24092207262341903,0.23323803497033474,0.31036710793524896
BCWDD,feature_TD_U,116740,self_paced,0.7854163095034002,0.21458369049659978,0.16107485954324272,0.154589123367289
NewThyroid2,feature_CB,670488,static,0.7502039983680132,0.24979600163198698,0.24978989993212494,0.3106585906723478
BCWDD,feature_TD_U,26226,curriculum,0.7581004628835932,0.2418995371164066,0.17307925701359575,0.11293058158553079
NewThyroid2,feature_CB,670488,self_paced,0.7537739698082415,0.24622603019175848,0.23179910955680172,0.2684971517888251
NewThyroid2,feature_CB,116740,curriculum,0.7553039575683395,0.24469604243166054,0.20514792384661362,0.22063818505414778
BCWDD,feature_TD_U,26226,static,0.7837590719469684,0.2162409280530316,0.1337931452842801,0.1212228475229062
NewThyroid2,feature_CB,116740,static,0.7515299877600978,0.2484700122399021,0.20734821023766714,0.22882515090429448
BCWDD,feature_TD_U,26226,self_paced,0.7965026572947026,0.20349734270529746,0.1434969748983201,0.15765246245267397
NewThyroid2,feature_CB,116740,self_paced,0.7907996736026112,0.2092003263973888,0.17142873922746166,0.21513897784478356
NewThyroid2,feature_CB,26226,curriculum,0.8091595267237862,0.19084047327621378,0.18221108651175533,0.31118713554716365
BCWDD,feature_CL,670488,curriculum,0.725012857877593,0.27498714212240705,0.1900958532782332,0.12881061933856056
NewThyroid2,feature_CB,26226,static,0.802733578131375,0.19726642186862509,0.19345908571819304,0.3117974037421935
BCWDD,feature_CL,670488,static,0.7233556203211613,0.2766443796788388,0.2384104731814062,0.1573102578151488
NewThyroid2,feature_CB,26226,self_paced,0.8475112199102406,0.15248878008975925,0.11579706407237214,0.20177587750410514
NewThyroid2,feature_N1,670488,curriculum,0.799265605875153,0.20073439412484698,0.2076137704816284,0.29502533844469037
