dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_real_score,mean_synth_score,std_real_score,std_synth_score,score_difference
NewThyroid2,pca_contribution,670488,curriculum,0.8462403112720206,0.2665847395040548,0.24605911520144497,0.0,0.0010798824233069562,0.020525624302609846
BCWDD,relative_entropy,26226,curriculum,0.7686058247040509,0.23027166246111871,0.21449418915032362,0.003694782700702773,0.0018664178321285295,0.015777473310795098
NewThyroid2,pca_contribution,670488,static,0.8621692921644417,0.2665847395040548,0.25223486431414305,0.0,0.000871650915879345,0.014349875189911765
BCWDD,relative_entropy,26226,static,0.780921334342828,0.23027166246111871,0.2218773375904135,0.0036947827007027573,0.0009815401202706614,0.008394324870705211
NewThyroid2,pca_contribution,670488,self_paced,0.8843986048271101,0.2665847395040548,0.26323839799336096,0.0,0.0012590312032058298,0.003346341510693851
NewThyroid2,pca_contribution,116740,curriculum,0.698160978857243,0.2695586592990631,0.27439570924949785,0.0,0.006847147575730814,0.004837049950434769
BCWDD,relative_entropy,26226,self_paced,0.7595859507932571,0.23027166246111871,0.2154837916991802,0.0036947827007027573,0.0013174570545632196,0.01478787076193852
NewThyroid2,pca_contribution,116740,static,0.8774165099912651,0.2695586592990631,0.2601612308066547,0.0,0.00212987377695831,0.009397428492408377
BCWDD,pca_contribution,670488,curriculum,0.7958258221256486,0.22541749030518263,0.19415970220421488,0.0018249600297177721,0.00037817276144881613,0.03125778810096774
NewThyroid2,pca_contribution,116740,self_paced,0.8774658302400841,0.2695586592990631,0.26105507061647487,0.0,0.0039046776728606297,0.008503588682588215
NewThyroid2,pca_contribution,26226,curriculum,0.8544968623374836,0.2726460846149061,0.2537354463232337,0.0,0.0016169892688402748,0.018910638291672388
BCWDD,pca_contribution,670488,static,0.8086449764836666,0.22541749030518263,0.20416214229922214,0.0018249600297177721,0.0007479607548740691,0.02125534800596049
NewThyroid2,pca_contribution,26226,static,0.6989005433333382,0.2726460846149061,0.26552847033521837,0.0,0.013194684145005374,0.007117614279687712
BCWDD,pca_contribution,670488,self_paced,0.8133180754844396,0.22541749030518263,0.2015019351650785,0.0018249600297177721,0.00202423941193404,0.023915555140104128
NewThyroid2,pca_contribution,26226,self_paced,0.7426214124423179,0.2726460846149061,0.28026980345831615,0.0,0.010144480451214709,0.0076237188434100656
NewThyroid2,feature_kDN,670488,curriculum,0.6497344601433851,0.2665847395040548,0.2897432324226471,0.0,0.002025488236885348,0.02315849291859229
