dataset,hardness_metric,seed,weighting_strategy,bottleneck_H0_mean,bottleneck_H0_std,bottleneck_H1_mean,bottleneck_H1_std,wasserstein_H0_mean,wasserstein_H0_std,wasserstein_H1_mean,wasserstein_H1_std
NewThyroid2,feature_DS,26226,curriculum,1.3081064621607463,0.08641701922135293,0.11863866200049718,0.07401362414872106,9.139648561451729,1.221769741230317,0.25647623304841194,0.1944131558430818
BCWDD,feature_kDN,116740,static,1.5100582043329875,0.25597880871035905,0.489761749903361,0.002782305463335325,73.41632576218575,6.062803783448881,4.962668733218474,1.0215501790088972
NewThyroid2,feature_DS,26226,static,1.1975573301315308,0.0,0.11840202411015828,0.05037998087469333,11.153126899344002,1.5886176073939935,0.46956735371339203,0.28279633918189534
BCWDD,feature_kDN,116740,self_paced,1.4875761270523071,0.19003739935566802,0.5092349449793497,0.07680933060790088,71.33832503228415,3.8010264201929003,8.903939920640468,0.391968973531039
NewThyroid2,feature_DS,26226,self_paced,1.1058724721272786,0.12966196965386476,0.20799601078033447,0.03188004480103429,12.223319112568923,0.9332882432102112,0.9042251629598547,0.21082926658252285
Hypothyroid,,26226,static,1.6970678170522053,0.05051760599574368,0.2741547226905823,0.004199419681433664,48.10389597804096,0.9675591816941463,4.438154022183276,0.10517696675466076
NewThyroid2,feature_DCP,670488,curriculum,1.3455158472061157,0.09733241878696432,0.19608132044474283,0.052345491307956106,8.641848438580109,1.2749103205774057,0.5488125818044743,0.09954128013983408
BCWDD,feature_kDN,26226,curriculum,1.545663555463155,0.03672665140079703,0.5319941639900208,0.06739074119099457,83.72699195187256,3.6091781616522893,5.928221137975449,1.040001869148426
NewThyroid2,feature_DCP,670488,static,1.2011762460072835,0.1895034075909243,0.19066470861434937,0.05575353708415106,12.0861320354447,0.5790940977860679,0.5866828642320123,0.023886970398671863
BCWDD,feature_kDN,26226,static,1.5043797492980957,0.09511076998580603,0.44276905059814453,0.01782402688983128,78.22250948300886,8.031502152199193,5.510520380925851,1.309655650050482
NewThyroid2,feature_DCP,670488,self_paced,1.208962877591451,0.00013054283878774245,0.1722773313522339,0.07234946596213979,10.56398496190618,0.7920778770035386,0.517329908027913,0.1282482213284513
NewThyroid2,feature_DCP,116740,curriculum,1.1710395812988281,0.2230429767809857,0.15878236293792725,0.03549009096338641,10.666972224099462,0.9771760047960694,0.5439708291167653,0.24086301265360824
BCWDD,feature_kDN,26226,self_paced,1.435733477274577,0.08240252351647255,0.5136030117670695,0.010247106459628428,72.87478125655942,4.200036792199415,7.970381665483473,1.193711034569286
NewThyroid2,feature_DCP,116740,static,1.1763569116592407,0.2305628174922994,0.17238610982894897,0.04808794234029632,12.46697224647069,1.2284108338195665,0.45070933289083426,0.15801783335965625
BCWDD,feature_DS,670488,curriculum,1.10197917620341,0.15336986872345917,0.4778323570887248,0.02632697958218114,46.218387927201206,8.463571496244985,5.275284850115995,1.1405883681878162
NewThyroid2,feature_DCP,116740,self_paced,1.1068170269330342,0.2924129458024369,0.13592290878295898,0.03401950701564167,11.766711094365805,2.002446323137606,0.36743243736996495,0.16589592942821618
NewThyroid2,feature_DCP,26226,curriculum,1.26787265141805,0.09944088100601728,0.1458046833674113,0.012095864543636514,9.95871620164142,0.6229812828264707,0.6259425895215783,0.06401938930060884
BCWDD,feature_DS,670488,static,1.2514179547627766,0.1295185004632766,0.44668354590733844,0.055661913801151965,75.03787919297544,3.331796828074846,8.87145052356258,0.8745766164291731
NewThyroid2,feature_DCP,26226,static,1.26787265141805,0.09944088100601728,0.1190375176568826,0.09238516837331996,10.93810171468389,2.165058989370078,0.48073704740741685,0.3804266653390585
BCWDD,feature_DS,670488,self_paced,1.3130298852920532,0.1835868211715259,0.4337396224339803,0.08489961221854822,55.16361412496142,9.816905457245031,6.6280447865557655,1.289816338981555
NewThyroid2,feature_DCP,26226,self_paced,1.26787265141805,0.09944088100601728,0.10381545623143514,0.04572570269586099,10.643716432219525,1.0946357071790387,0.38347783918459016,0.196960030455392
NewThyroid2,feature_TD_P,670488,curriculum,1.272075851758321,0.08912468118970276,0.1512410044670105,0.0,11.492818200993336,0.7173090869029832,0.5689229523275663,0.049359931516609314
BCWDD,feature_DS,116740,curriculum,1.3559696674346924,0.24225668694614866,0.4556164542833964,0.03879453448644886,59.95469743026998,14.284429446913515,8.251714130219627,2.6941493478492586
NewThyroid2,feature_TD_P,670488,static,1.272075851758321,0.08912468118970276,0.16452229022979736,0.018782574451485883,11.6201637773748,0.7408242640871919,0.6279701058160431,0.04489455074804223
NewThyroid2,feature_TD_P,670488,self_paced,1.127736250559489,0.11480658181855119,0.13285362720489502,0.02600367830055438,11.975687232131245,1.054548860033268,0.5341668680483027,0.1162617417215165
BCWDD,feature_DS,116740,static,1.5731406609217327,0.22319427832621516,0.7191027998924255,0.262090216412927,61.10366806692406,11.797785364183072,7.182779513499324,2.6016447177847093
NewThyroid2,feature_TD_P,116740,curriculum,1.0408388177553813,0.2049608913841014,0.13592290878295898,0.03401950701564167,10.761818359189641,1.470991102802263,0.3919692753895574,0.1464482000174672
BCWDD,feature_DS,116740,self_paced,1.381244957447052,0.29174820702725046,0.45596550901730853,0.07645420499460118,65.39862725847722,4.856758886894199,7.522853372875591,0.889136711011341
NewThyroid2,feature_TD_P,116740,static,1.2849299907684326,0.20330654660611536,0.1247687538464864,0.043199946810404524,10.782692527448317,1.1890212368997803,0.29777207346759843,0.15364895629434547
Hypothyroid,relative_entropy,670488,curriculum,1.60980220635732,0.1961860916342694,0.26219577590624493,0.09104093967453407,53.99701237100599,3.6225132296370424,3.6907985999374056,0.6066090107767452
NewThyroid2,feature_TD_P,116740,self_paced,1.1763569116592407,0.2305628174922994,0.15878236293792725,0.03549009096338641,11.97415838533731,1.2068607889095044,0.4051346847027866,0.14191971551968716
