dataset,seed,model,hardness_metric,strategy,v_dist,v_comp,v_hard,v_topo,MFI
Hepatitis,26226,HardTVAE_DCP_static,DCP,static,0.3492465137201979,0.8231413342001607,0.4255218216318785,0.8681875795585261,0.5277012973649415
Hepatitis,26226,HardTVAE_DCP_self_paced,DCP,self_paced,0.3666779127305443,0.8496375811681108,0.4364326375711575,0.8084725502418296,0.538186612406918
Hepatitis,26226,HardTVAE_TD_U_curriculum,TD_U,curriculum,0.3524516419253261,0.82042890006954,0.4128716002530044,0.8883376304575213,0.5260457090951848
Hepatitis,26226,HardTVAE_TD_U_static,TD_U,static,0.3549257759784076,0.8358231100208918,0.4340607210626186,0.8299837195028538,0.5317321854466464
Hepatitis,26226,HardTVAE_TD_U_self_paced,TD_U,self_paced,0.3798920377867746,0.8398248439027509,0.4296331435800127,0.8794775466341657,0.5488732401692089
Hepatitis,26226,HardTVAE_CL_curriculum,CL,curriculum,0.3543072424651372,0.8345607061423267,0.4275774826059456,0.8587595688178521,0.5316411545914977
Hepatitis,26226,HardTVAE_CL_static,CL,static,0.3539136302294197,0.8450679696265798,0.4381720430107526,0.7893517318877173,0.5292436306443021
Hepatitis,26226,HardTVAE_CL_self_paced,CL,self_paced,0.3625168690958165,0.8440795693939953,0.4425996204933586,0.8692136763884593,0.5439913419639256
Hepatitis,26226,HardTVAE_CLD_curriculum,CLD,curriculum,0.3767993702204228,0.8170288080958751,0.4255218216318785,0.8868991491901559,0.5438137884391094
Hepatitis,26226,HardTVAE_CLD_static,CLD,static,0.3901821862348179,0.8308080640829911,0.4242567994939912,0.8718662788348572,0.550162388131601
Hepatitis,26226,HardTVAE_CLD_self_paced,CLD,self_paced,0.3969298245614035,0.8393708922513107,0.4142947501581278,0.8695323583332113,0.5498667726392854
Hepatitis,26226,HardTVAE_MV_curriculum,MV,curriculum,0.3552069275753486,0.8445940984491418,0.4274193548387097,0.8155692037800079,0.5287493399200132
Hepatitis,26226,HardTVAE_MV_static,MV,static,0.3625730994152047,0.8360943007456733,0.4350094876660342,0.8143788612356478,0.5346998836817575
Hepatitis,26226,HardTVAE_MV_self_paced,MV,self_paced,0.3396311291048133,0.8448963526207639,0.4098671726755218,0.9276487907289948,0.5231659868547492
Hepatitis,26226,HardTVAE_CB_curriculum,CB,curriculum,0.3614484930274403,0.839209785030492,0.4063883617963314,0.8157235558817046,0.5232281249447729
Hepatitis,26226,HardTVAE_CB_static,CB,static,0.3600989653621232,0.8204126515709557,0.4297912713472486,0.8635664983903818,0.5347155801500753
Hepatitis,26226,HardTVAE_CB_self_paced,CB,self_paced,0.3528452541610436,0.8377155320525204,0.4018026565464896,0.7903130359154423,0.5140112015202712
