model,hardness_metric,strategy,Dataset,metric,baseline,gain_index,gain_std,n_seeds,win_rate
HardTVAE_CB_self_paced,CB,self_paced,Pima,Precision,TVAE,0.07986823659274014,0.1356692981533552,5,0.6
HardTVAE_CB_self_paced,CB,self_paced,Pima,Recall,TVAE,0.023376623376623384,0.04442241915970669,5,0.6
HardTVAE_CB_self_paced,CB,self_paced,Pima,Specificity,TVAE,0.022845598845598846,0.18067532909573883,5,0.4
HardTVAE_CB_self_paced,CB,self_paced,Thoracic,F1 Score,TVAE,-0.00651782766033433,0.00595360798586073,5,0.0
HardTVAE_CB_self_paced,CB,self_paced,Thoracic,Precision,TVAE,-0.0017039726292388036,0.0015589401984937423,5,0.0
HardTVAE_CB_self_paced,CB,self_paced,Thoracic,Recall,TVAE,-0.012765957446808507,0.011653671436280126,5,0.0
HardTVAE_CB_self_paced,CB,self_paced,Thoracic,Specificity,TVAE,-0.002234042553191451,0.0020393925013489876,5,0.0
HardTVAE_CB_self_paced,CB,self_paced,Vertebral,F1 Score,TVAE,-0.022581946035062916,0.22268575420092973,5,0.2
HardTVAE_CB_self_paced,CB,self_paced,Vertebral,Precision,TVAE,0.03857072999598514,0.2619873111096448,5,0.4
HardTVAE_CB_self_paced,CB,self_paced,Vertebral,Recall,TVAE,0.006451612903225779,0.12781685649134802,5,0.2
HardTVAE_CB_self_paced,CB,self_paced,Vertebral,Specificity,TVAE,-0.07026113671274965,0.350099849001836,5,0.2
HardTVAE_CB_static,CB,static,BCWDD,F1 Score,TVAE,0.012936354127702842,0.022774524416163032,10,0.4
HardTVAE_CB_static,CB,static,BCWDD,Precision,TVAE,0.010753114105880968,0.020279952178334594,10,0.4
HardTVAE_CB_static,CB,static,BCWDD,Recall,TVAE,0.01228070175438597,0.02195904486025565,10,0.4
HardTVAE_CB_static,CB,static,BCWDD,Specificity,TVAE,0.0190685045948204,0.032576105364483784,10,0.4
HardTVAE_CB_static,CB,static,HeartCleveland,F1 Score,TVAE,0.01403685524413777,0.05780397144688081,10,0.4
HardTVAE_CB_static,CB,static,HeartCleveland,Precision,TVAE,0.01295652376297538,0.05210404659038141,10,0.4
HardTVAE_CB_static,CB,static,HeartCleveland,Recall,TVAE,0.01290322580645159,0.055248312166301654,10,0.4
HardTVAE_CB_static,CB,static,HeartCleveland,Specificity,TVAE,0.01566820276497697,0.063145854676044,10,0.4
HardTVAE_CB_static,CB,static,Hepatitis,F1 Score,TVAE,0.02098309310952991,0.12069773229450396,6,0.6666666666666666
HardTVAE_CB_static,CB,static,Hepatitis,Precision,TVAE,0.06684647817460321,0.19223782596624545,6,0.6666666666666666
HardTVAE_CB_static,CB,static,Hepatitis,Recall,TVAE,-0.010416666666666666,0.07306532465312576,6,0.3333333333333333
HardTVAE_CB_static,CB,static,Hepatitis,Specificity,TVAE,0.0830662393162393,0.3234217619797233,6,0.6666666666666666
HardTVAE_CB_static,CB,static,Hypothyroid,F1 Score,TVAE,-0.008235446750147802,0.0572332082671051,5,0.4
HardTVAE_CB_static,CB,static,Hypothyroid,Precision,TVAE,0.0055980676632322755,0.06335228694502781,5,0.4
HardTVAE_CB_static,CB,static,Hypothyroid,Recall,TVAE,-0.008465608465608399,0.03715024271225815,5,0.4
HardTVAE_CB_static,CB,static,Hypothyroid,Specificity,TVAE,-0.1587905915146307,0.527384629808311,5,0.2
HardTVAE_CB_static,CB,static,ILPD,F1 Score,TVAE,0.01606991773494293,0.07853246584112415,5,0.2
HardTVAE_CB_static,CB,static,ILPD,Precision,TVAE,0.011412843228061065,0.1283406491453809,5,0.2
HardTVAE_CB_static,CB,static,ILPD,Recall,TVAE,0.027118644067796627,0.045794088427478966,5,0.4
HardTVAE_CB_static,CB,static,ILPD,Specificity,TVAE,-0.0030290082134548646,0.16456458428068252,5,0.2
HardTVAE_CB_static,CB,static,NewThyroid1,F1 Score,TVAE,0.052727272727272734,0.11790176608635256,5,0.2
HardTVAE_CB_static,CB,static,NewThyroid1,Precision,TVAE,0.06611570247933882,0.147839205123953,5,0.2
HardTVAE_CB_static,CB,static,NewThyroid1,Recall,TVAE,0.036363636363636355,0.08131156281817414,5,0.2
HardTVAE_CB_static,CB,static,NewThyroid1,Specificity,TVAE,0.16363636363636364,0.3659020326817838,5,0.2
HardTVAE_CB_static,CB,static,NewThyroid2,F1 Score,TVAE,0.0,0.0,5,0.0
HardTVAE_CB_static,CB,static,NewThyroid2,Precision,TVAE,0.0,0.0,5,0.0
HardTVAE_CB_static,CB,static,NewThyroid2,Recall,TVAE,0.0,0.0,5,0.0
HardTVAE_CB_static,CB,static,NewThyroid2,Specificity,TVAE,0.0,0.0,5,0.0
HardTVAE_CB_static,CB,static,Pima,F1 Score,TVAE,0.04716297718198679,0.06774482662929267,5,0.8
HardTVAE_CB_static,CB,static,Pima,Precision,TVAE,0.06783876719152707,0.11152144605362921,5,0.8
HardTVAE_CB_static,CB,static,Pima,Recall,TVAE,0.018181818181818188,0.02989834917719829,5,0.8
HardTVAE_CB_static,CB,static,Pima,Specificity,TVAE,0.07455892255892255,0.1273307376165959,5,0.8
HardTVAE_CB_static,CB,static,Thoracic,F1 Score,TVAE,-0.022215409253734043,0.03037509530682108,5,0.2
HardTVAE_CB_static,CB,static,Thoracic,Precision,TVAE,-0.00592727944617284,0.008095278284270094,5,0.2
HardTVAE_CB_static,CB,static,Thoracic,Recall,TVAE,-0.04255319148936172,0.05826835718140068,5,0.2
HardTVAE_CB_static,CB,static,Thoracic,Specificity,TVAE,-0.007446808510638276,0.01019696250674511,5,0.2
HardTVAE_CB_static,CB,static,Vertebral,F1 Score,TVAE,0.021169627890890275,0.22838280028434146,5,0.4
